rank,display,label,category,score
1,My Care Hub,mycarehub,Personal portal name,31.25
2,My Clinic Hub,myclinichub,Personal portal name,30.75
3,My Doctor Hub,mydoctorhub,Personal portal name,30.75
4,My Health Hub,myhealthhub,Personal portal name,30.75
5,My Care App,mycareapp,Personal portal name,30.25
6,My Care Now,mycarenow,Personal portal name,30.25
7,My Care Desk,mycaredesk,Personal portal name,30.0
8,My Care Home,mycarehome,Personal portal name,30.0
9,My Care Link,mycarelink,Personal portal name,30.0
10,My Clinic App,myclinicapp,Personal portal name,29.75
11,My Clinic Now,myclinicnow,Personal portal name,29.75
12,My Doctor App,mydoctorapp,Personal portal name,29.75
13,My Doctor Now,mydoctornow,Personal portal name,29.75
14,My Health App,myhealthapp,Personal portal name,29.75
15,My Health Now,myhealthnow,Personal portal name,29.75
16,My Care Access,mycareaccess,Personal portal name,29.5
17,My Care Portal,mycareportal,Personal portal name,29.5
18,My Clinic Desk,myclinicdesk,Personal portal name,29.5
19,My Clinic Home,myclinichome,Personal portal name,29.5
20,My Clinic Link,mycliniclink,Personal portal name,29.5
21,My Doctor Desk,mydoctordesk,Personal portal name,29.5
22,My Doctor Home,mydoctorhome,Personal portal name,29.5
23,My Doctor Link,mydoctorlink,Personal portal name,29.5
24,My Health Desk,myhealthdesk,Personal portal name,29.5
25,My Health Home,myhealthhome,Personal portal name,29.5
26,My Health Link,myhealthlink,Personal portal name,29.5
27,My Care Connect,mycareconnect,Personal portal name,29.25
28,My Care Team,mycareteam,Personal portal name,29.0
29,My Clinic Access,myclinicaccess,Personal portal name,29.0
30,My Clinic Connect,myclinicconnect,Personal portal name,29.0
31,My Clinic Portal,myclinicportal,Personal portal name,29.0
32,My Doctor Access,mydoctoraccess,Personal portal name,29.0
33,My Doctor Connect,mydoctorconnect,Personal portal name,29.0
34,My Doctor Portal,mydoctorportal,Personal portal name,29.0
35,My Health Access,myhealthaccess,Personal portal name,29.0
36,My Health Connect,myhealthconnect,Personal portal name,29.0
37,My Health Portal,myhealthportal,Personal portal name,29.0
38,My Visit Hub,myvisithub,Personal portal name,29.0
39,One Care Hub,onecarehub,Personal portal name,29.0
40,Our Care Hub,ourcarehub,Personal portal name,29.0
41,My Care Login,mycarelogin,Personal portal name,28.75
42,My Office Hub,myofficehub,Personal portal name,28.75
43,Your Care Hub,yourcarehub,Personal portal name,28.75
44,My Care Office,mycareoffice,Personal portal name,28.5
45,My Care Online,mycareonline,Personal portal name,28.5
46,My Clinic Team,myclinicteam,Personal portal name,28.5
47,My Doctor Team,mydoctorteam,Personal portal name,28.5
